sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions,family_apprehensions
southwest border,1999,7706,1537000,,,,,,,249,,,,,,,
big bend,1998,164,14509,,,,,,,3,,,,,,,
del rio,1998,589,131058,,,,,,,28,,,,,,,
el centro,1998,383,226695,,,,,,,90,,,,,,,
el paso,1998,972,125035,,,,,,,24,,,,,,,
laredo,1998,628,103433,,,,,,,20,,,,,,,
rio grande valley,1998,1107,204257,,,,,,,26,,,,,,,
san diego,1998,2274,248092,,,,,,,44,,,,,,,
tucson,1998,1013,387406,,,,,,,11,,,,,,,
yuma,1998,227,76195,,,,,,,17,,,,,,,
southwest border,1998,7357,1516680,,,,,,,263,,,,,,,
big bend,1997,135,12692,,,,,,,,,,,,,,
del rio,1997,471,113280,,,,,,,,,,,,,,
el centro,1997,249,146210,,,,,,,,,,,,,,
el paso,1997,918,124376,,,,,,,,,,,,,,
laredo,1997,451,141893,,,,,,,,,,,,,,
rio grande valley,1997,760,243793,,,,,,,,,,,,,,
san diego,1997,2281,283889,,,,,,,,,,,,,,
tucson,1997,875,272397,,,,,,,,,,,,,,
yuma,1997,175,30177,,,,,,,,,,,,,,
southwest border,1997,6315,1368707,,,,,,,,,,,,,,
big bend,1996,134,13214,,,,,,,,,,,,,,
del rio,1996,406,121137,,,,,,,,,,,,,,
el centro,1996,189,66873,,,,,,,,,,,,,,
el paso,1996,841,145929,,,,,,,,,,,,,,
laredo,1996,415,131841,,,,,,,,,,,,,,
rio grande valley,1996,507,210553,,,,,,,,,,,,,,
san diego,1996,1965,483815,,,,,,,,,,,,,,
tucson,1996,702,305348,,,,,,,,,,,,,,
yuma,1996,174,28310,,,,,,,,,,,,,,
southwest border,1996,5333,1507020,,,,,,,,,,,,,,
big bend,1995,133,11552,,,,,,,,,,,,,,
del rio,1995,399,76490,,,,,,,,,,,,,,
el centro,1995,190,37317,,,,,,,,,,,,,,
el paso,1995,746,110971,,,,,,,,,,,,,,
laredo,1995,421,93305,,,,,,,,,,,,,,
rio grande valley,1995,474,169101,,,,,,,,,,,,,,
san diego,1995,1433,524231,,,,,,,,,,,,,,
tucson,1995,407,227529,,,,,,,,,,,,,,
yuma,1995,185,20894,,,,,,,,,,,,,,
southwest border,1995,4288,1271390,,,,,,,,,,,,,,
big bend,1994,128,13494,,,,,,,,,,,,,,
del rio,1994,299,50036,,,,,,,,,,,,,,
el centro,1994,194,27654,,,,,,,,,,,,,,
el paso,1994,643,79688,,,,,,,,,,,,,,
laredo,1994,337,73142,,,,,,,,,,,,,,
rio grande valley,1994,392,124251,,,,,,,,,,,,,,
san diego,1994,1290,450152,,,,,,,,,,,,,,
tucson,1994,282,139473,,,,,,,,,,,,,,
yuma,1994,182,21211,,,,,,,,,,,,,,
southwest border,1994,3747,979101,,,,,,,,,,,,,,
big bend,1993,134,15486,,,,,,,,,,,,,,
del rio,1993,297,42289,,,,,,,,,,,,,,
el centro,1993,198,30058,,,,,,,,,,,,,,
el paso,1993,608,285781,,,,,,,,,,,,,,
laredo,1993,353,82348,,,,,,,,,,,,,,
rio grande valley,1993,393,109048,,,,,,,,,,,,,,
san diego,1993,992,531689,,,,,,,,,,,,,,
tucson,1993,287,92639,,,,,,,,,,,,,,
yuma,1993,182,23548,,,,,,,,,,,,,,
southwest border,1993,3444,1212886,,,,,,,,,,,,,,
big bend,1992,108,13819,,,,,,,,,,,,,,
del rio,1992,317,33414,,,,,,,,,,,,,,
el centro,1992,217,29852,,,,,,,,,,,,,,
el paso,1992,627,248642,,,,,,,,,,,,,,
laredo,1992,364,72449,,,,,,,,,,,,,,
rio grande valley,1992,418,85889,,,,,,,,,,,,,,
san diego,1992,1009,565581,,,,,,,,,,,,,,
tucson,1992,300,71036,,,,,,,,,,,,,,
yuma,1992,195,24892,,,,,,,,,,,,,,
southwest border,1992,3555,1145574,,,,,,,,,,,,,,
big bend,1991,,8764,,,,,,,,,,,,,,
del rio,1991,,38554,,,,,,,,,,,,,,
el centro,1991,,30450,,,,,,,,,,,,,,
